Settlement Date,Settlement Period,Market Index Data Provider Id,Market Index Volume (MWh),Market Index Price (£/MWh)
05 January 2025,40,N2EXMIDP,0,0
05 January 2025,41,APXMIDP ,4321,117.03
05 January 2025,41,N2EXMIDP,0,0
05 January 2025,42,APXMIDP ,3842.4,109.46
05 January 2025,42,N2EXMIDP,0,0
05 January 2025,43,APXMIDP ,3956.7,108.72
05 January 2025,43,N2EXMIDP,0,0
05 January 2025,44,APXMIDP ,4030.25,111.62
05 January 2025,44,N2EXMIDP,0,0
05 January 2025,45,APXMIDP ,3573.35,108.55
05 January 2025,45,N2EXMIDP,0,0
05 January 2025,46,APXMIDP ,3483.45,97.14
05 January 2025,46,N2EXMIDP,0,0
05 January 2025,47,APXMIDP ,1672.6,76.65
05 January 2025,47,N2EXMIDP,0,0
05 January 2025,48,APXMIDP ,1407.3,69.63
05 January 2025,48,N2EXMIDP,0,0
06 January 2025,1,APXMIDP ,1617.7,77.5
06 January 2025,1,N2EXMIDP,0,0
06 January 2025,2,APXMIDP ,1900.35,97.02
06 January 2025,2,N2EXMIDP,0,0
06 January 2025,3,APXMIDP ,2207.15,97.25
06 January 2025,3,N2EXMIDP,0,0
06 January 2025,4,APXMIDP ,2165,101.06
06 January 2025,4,N2EXMIDP,0,0
06 January 2025,5,APXMIDP ,2723.45,102.65
06 January 2025,5,N2EXMIDP,0,0
06 January 2025,6,APXMIDP ,3085,87.22
06 January 2025,6,N2EXMIDP,0,0
06 January 2025,7,APXMIDP ,3209.35,81.53
06 January 2025,7,N2EXMIDP,0,0
06 January 2025,8,APXMIDP ,3183.7,69.57
06 January 2025,8,N2EXMIDP,0,0
06 January 2025,9,APXMIDP ,3151.75,49.98
06 January 2025,9,N2EXMIDP,0,0
06 January 2025,10,APXMIDP ,2814.15,44.45
06 January 2025,10,N2EXMIDP,0,0
06 January 2025,11,APXMIDP ,2074.95,43.08
06 January 2025,11,N2EXMIDP,0,0
06 January 2025,12,APXMIDP ,2846.1,56.17
06 January 2025,12,N2EXMIDP,0,0
06 January 2025,13,APXMIDP ,2634.6,82.55
06 January 2025,13,N2EXMIDP,0,0
06 January 2025,14,APXMIDP ,2538.2,93.36
06 January 2025,14,N2EXMIDP,0,0
06 January 2025,15,APXMIDP ,1898.45,107.08
06 January 2025,15,N2EXMIDP,0,0
06 January 2025,16,APXMIDP ,2217,100.28
06 January 2025,16,N2EXMIDP,0,0
06 January 2025,17,APXMIDP ,1777.5,107.03
06 January 2025,17,N2EXMIDP,0,0
06 January 2025,18,APXMIDP ,2162.45,108.23
06 January 2025,18,N2EXMIDP,0,0
06 January 2025,19,APXMIDP ,1539.4,117.82
06 January 2025,19,N2EXMIDP,0,0
06 January 2025,20,APXMIDP ,1722.05,118.75
06 January 2025,20,N2EXMIDP,0,0
06 January 2025,21,APXMIDP ,1951.9,118.48
06 January 2025,21,N2EXMIDP,0,0
06 January 2025,22,APXMIDP ,2421,111.93
06 January 2025,22,N2EXMIDP,0,0
06 January 2025,23,APXMIDP ,2381.4,106.04
06 January 2025,23,N2EXMIDP,0,0
06 January 2025,24,APXMIDP ,2265.05,107.03
06 January 2025,24,N2EXMIDP,0,0
06 January 2025,25,APXMIDP ,1943.4,111.42
06 January 2025,25,N2EXMIDP,0,0
06 January 2025,26,APXMIDP ,2102.45,109.72
06 January 2025,26,N2EXMIDP,0,0
06 January 2025,27,APXMIDP ,2190.25,110.52
06 January 2025,27,N2EXMIDP,0,0
06 January 2025,28,APXMIDP ,2205.7,110
06 January 2025,28,N2EXMIDP,0,0
06 January 2025,29,APXMIDP ,2343.1,110.4
06 January 2025,29,N2EXMIDP,0,0
06 January 2025,30,APXMIDP ,2696.95,106.74
06 January 2025,30,N2EXMIDP,0,0
06 January 2025,31,APXMIDP ,2594.05,105.46
06 January 2025,31,N2EXMIDP,0,0
06 January 2025,32,APXMIDP ,2312.15,106.42
06 January 2025,32,N2EXMIDP,0,0
06 January 2025,33,APXMIDP ,2508.4,106.75
06 January 2025,33,N2EXMIDP,0,0
06 January 2025,34,APXMIDP ,2946.35,112.4
06 January 2025,34,N2EXMIDP,0,0
06 January 2025,35,APXMIDP ,3315.6,107.28
06 January 2025,35,N2EXMIDP,0,0
06 January 2025,36,APXMIDP ,2841.75,109.44
06 January 2025,36,N2EXMIDP,0,0
06 January 2025,37,APXMIDP ,2869.25,111.7
06 January 2025,37,N2EXMIDP,0,0
06 January 2025,38,APXMIDP ,3405.55,112.01
06 January 2025,38,N2EXMIDP,0,0
06 January 2025,39,APXMIDP ,2892.75,110.44
06 January 2025,39,N2EXMIDP,0,0
06 January 2025,40,APXMIDP ,2338.4,95.38
